meal_type,meal_name,calories
dinner,Lemon Garlic Butter Shrimp with Zucchini Noodles,700
dinner,Turkey and Vegetable Skewers with Sweet Potato Mash,700
dinner,Grilled Chicken Breast with Broccoli and Quinoa,750
dinner,Cajun Shrimp and Vegetable Saute with Brown Rice,750
dinner,Tandoori Chicken with Roasted Vegetables and Couscous,750
dinner,Lemon Herb Baked Cod with Asparagus and Sweet Potato,750
dinner,Turkey and Spinach Stuffed Bell Peppers,750
dinner,Salmon Teriyaki with Stir-Fried Vegetables and Quinoa,800
dinner,Spicy Garlic Shrimp with Zucchini Noodles,800
dinner,Chicken Fajita Bowl with Black Beans and Brown Rice,800
dinner,Grilled Lemon Herb Tilapia with Roasted Brussels Sprouts,800
dinner,Herb-Marinated Turkey Cutlets with Grilled Vegetables,800
dinner,Cajun-Spiced Grilled Chicken with Sweet Potato Mash,850
dinner,Lemon Dill Baked Cod with Quinoa and Asparagus,850
dinner,Spicy Mango Glazed Shrimp with Brown Rice,850
dinner,Tandoori Chicken Skewers with Cauliflower Rice,850
dinner,Grilled Herb-Marinated Chicken Breast with Sauteed Spinach,850
dinner,Lemon Garlic Butter Salmon with Roasted Vegetables,900
dinner,Chimichurri Grilled Chicken Thighs with Quinoa,900
dinner,Teriyaki Glazed Baked Cod with Stir-Fried Broccoli,900
dinner,Spicy Coconut Curry Shrimp with Basmati Rice,900
dinner,Grilled Paprika Chicken with Zucchini Noodles,900
dinner,Herb-Crusted Baked Salmon with Steamed Asparagus,950
dinner,Cajun Shrimp and Quinoa Bowl with Roasted Vegetables,950
dinner,Garlic Parmesan Baked Chicken with Brussels Sprouts,950
dinner,Chili Lime Grilled Tilapia with Cauliflower Rice,950
dinner,Butter Garlic Prawns with Spinach and Brown Rice,950
dinner,Grilled Lemon Herb Chicken Breast with Quinoa and Roasted Vegetables,1000
dinner,Spicy Sriracha Glazed Salmon with Stir-Fried Broccoli and Brown Rice,1000
dinner,Baked Mediterranean Herb-Crusted Cod with Sauteed Spinach,1000
dinner,Lemon Garlic Butter Shrimp Scampi with Zucchini Noodles,1000
dinner,Tandoori Chicken Skewers with Cauliflower Rice and Mint Yogurt Sauce,1000
dinner,Grilled Lemon Herb Chicken Breast with Quinoa and Roasted Vegetables,1050
dinner,Spicy Sriracha Glazed Salmon with Stir-Fried Broccoli and Brown Rice,1050
dinner,Baked Mediterranean Herb-Crusted Cod with Sauteed Spinach,1050
dinner,Lemon Garlic Butter Shrimp Scampi with Zucchini Noodles,1050
dinner,Tandoori Chicken Skewers with Cauliflower Rice and Mint Yogurt Sauce,1050
dinner,Grilled Lemon Herb Chicken Breast with Quinoa and Roasted Vegetables,1100
dinner,Spicy Sriracha Glazed Salmon with Stir-Fried Broccoli and Brown Rice,1100
dinner,Baked Mediterranean Herb-Crusted Cod with Sauteed Spinach,1100
dinner,Lemon Garlic Butter Shrimp Scampi with Zucchini Noodles,1100
dinner,Tandoori Chicken Skewers with Cauliflower Rice and Mint Yogurt Sauce,1100
dinner,Grilled Teriyaki Chicken with Vegetable Stir-Fry and Quinoa,1150
dinner,Spicy Garlic Lime Shrimp with Roasted Brussels Sprouts and Wild Rice,1150
dinner,Baked Lemon Herb Tilapia with Sauteed Kale and Sweet Potato Mash,1150
dinner,Chili Lime Grilled Chicken Thighs with Cilantro Lime Cauliflower Rice,1150
dinner,Turmeric Coconut Milk Poached Cod with Asparagus and Quinoa,1150
dinner,Grilled Salmon with Lemon Dill Sauce,1200
dinner,Cajun Shrimp and Sausage Skillet with Bell Peppers and Cauliflower Rice,1200
dinner,Herb Crusted Baked Chicken Breast with Garlic Roasted Brussels Sprouts and Quinoa,1200
dinner,Lemon Garlic Butter Shrimp Scampi with Zucchini Noodles,1200
dinner,Baked Pesto Chicken Thighs with Roasted Vegetables and Brown Rice,1200
dinner,Grilled Chicken Breast with Mushroom Sauce and Steamed Broccoli,1250
dinner,Spicy Garlic Shrimp Stir-Fry with Vegetables and Quinoa,1250
dinner,Baked Lemon Herb Tilapia with Asparagus and Wild Rice,1250
dinner,Tandoori Chicken Skewers with Cucumber Raita and Cauliflower Rice,1250
dinner,Honey Mustard Glazed Salmon with Roasted Brussels Sprouts and Sweet Potato,1250
dinner,Grilled Chicken Breast with Mushroom Sauce and Steamed Broccoli,1300
dinner,Spicy Garlic Shrimp Stir-Fry with Vegetables and Quinoa,1300
dinner,Baked Lemon Herb Tilapia with Asparagus and Wild Rice,1300
dinner,Tandoori Chicken Skewers with Cucumber Raita and Cauliflower Rice,1300
dinner,Honey Mustard Glazed Salmon with Roasted Brussels Sprouts and Sweet Potato,1300
dinner,Chicken Tikka Masala with Basmati Rice & 250g chicken,1350
dinner,Grilled Salmon with Quinoa and Asparagus & 200g salmon fillet,1350
dinner,Shrimp Scampi with Whole Wheat Pasta & 250g shrimp,1350
dinner,chicken Stir-Fry with Vegetables and Brown Rice & 200g chicken strips,1350
dinner,Lemon Herb Baked Cod with Roasted Sweet Potatoes & 200g cod fillet,1350
dinner,Grilled Chicken Breast with Quinoa Salad & 250g chicken breast,1400
dinner,Salmon Teriyaki with Brown Rice and Steamed Broccoli & 200g salmon fillet,1400
dinner,Shrimp and Vegetable Stir-Fry with Whole Wheat Noodles & 250g shrimp,1400
dinner,chicken and Vegetable Curry with Basmati Rice & 200g chicken strips,1400
dinner,Lemon Garlic Baked Tilapia with Roasted Brussels Sprouts & 200g tilapia fillet,1400
dinner,Grilled Chicken Breast with Quinoa Salad & 250g chicken breast,1450
dinner,Salmon Teriyaki with Brown Rice and Steamed Broccoli & 200g salmon fillet,1450
dinner,Shrimp and Vegetable Stir-Fry with Whole Wheat Noodles & 250g shrimp,1450
dinner,chickenand Vegetable Curry with Basmati Rice & 200g chicken strips,1450
dinner,Lemon Garlic Baked Tilapia with Roasted Brussels Sprouts & 200g tilapia fillet,1450
